afsc,tier,CIP_Code,submitDate,submittedBy,tierOrder
13M,P,12.0502,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0503,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0504,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0505,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0506,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0507,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0508,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0509,08NOV2018:00:00:00,1234567891A,3
13M,P,12.051,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0599,08NOV2018:00:00:00,1234567891A,3
13M,P,12.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0101,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0201,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0202,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0203,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0299,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0301,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0401,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0402,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0403,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0404,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0406,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0407,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0408,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0409,08NOV2018:00:00:00,1234567891A,3
13M,P,13.041,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0411,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0499,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0501,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0601,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0603,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0604,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0607,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0699,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0701,08NOV2018:00:00:00,1234567891A,3
13M,P,13.0901,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1001,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1003,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1004,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1005,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1006,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1007,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1008,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1009,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1011,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1012,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1013,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1014,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1015,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1016,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1017,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1018,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1019,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1099,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1101,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1102,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1199,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1201,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1202,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1203,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1205,08NOV2018:00:00:00,1234567891A,3
